it,T,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
19,0.01823977933388911,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,76,97,99,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,99,97,76,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,99,97,76,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,99,97,76,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,99,97,76,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,99,97,76,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,99,97,76,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,99,97,76,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,99,97,76,52,79,60,64,90,94,95,47,43,20,41,35,33
20,0.015503812433805742,78,25,49,53,84,99,97,76,52,79,60,64,90,94,95,47,43,20,41,35,33
